Sector,Hazard,affected predictor / indicator categories,Policy case study across Europe only,Country / city,Twin-transition mitigation measure,Policy implementation summary,Evidence of success / why credible,Reference links
Housing,HOME INSURANCE MORE EXPENSIVE,Dwelling year: Before 1945,EU EPBD Renovation Wave and Smart Readiness Indicator-enabled building upgrades,EU / Member States,"Twin-transition building resilience measure: combine energy performance renovation with digital building-readiness tools, smart controls and better building data to reduce inefficient, high-risk housing conditions.","For the profile ""Dwelling year: Before 1945"", the measure supports upgrading inefficient or older dwellings so they are less exposed to transition-related penalties and climate/energy-risk pressures that can affect household costs.","Backed by the EU Energy Performance of Buildings Directive, Renovation Wave and Smart Readiness Indicator framework for smart, decarbonised buildings.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en
Housing,HOME INSURANCE MORE EXPENSIVE,Ethnic minority: Prefer not to say,EU EPBD Renovation Wave and Smart Readiness Indicator-enabled building upgrades,EU / Member States,"Twin-transition building resilience measure: combine energy performance renovation with digital building-readiness tools, smart controls and better building data to reduce inefficient, high-risk housing conditions.","For the profile ""Ethnic minority: Prefer not to say"", the measure supports upgrading inefficient or older dwellings so they are less exposed to transition-related penalties and climate/energy-risk pressures that can affect household costs.","Backed by the EU Energy Performance of Buildings Directive, Renovation Wave and Smart Readiness Indicator framework for smart, decarbonised buildings.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en
Housing,HOME INSURANCE MORE EXPENSIVE,Dwelling year: 2022 or after,EU EPBD Renovation Wave and Smart Readiness Indicator-enabled building upgrades,EU / Member States,"Twin-transition building resilience measure: combine energy performance renovation with digital building-readiness tools, smart controls and better building data to reduce inefficient, high-risk housing conditions.","For the profile ""Dwelling year: 2022 or after"", the measure supports upgrading inefficient or older dwellings so they are less exposed to transition-related penalties and climate/energy-risk pressures that can affect household costs.","Backed by the EU Energy Performance of Buildings Directive, Renovation Wave and Smart Readiness Indicator framework for smart, decarbonised buildings.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en
Housing,HOME INSURANCE MORE EXPENSIVE,Ber rating: E-G,EU EPBD Renovation Wave and Smart Readiness Indicator-enabled building upgrades,EU / Member States,"Twin-transition building resilience measure: combine energy performance renovation with digital building-readiness tools, smart controls and better building data to reduce inefficient, high-risk housing conditions.","For the profile ""Ber rating: E-G"", the measure supports upgrading inefficient or older dwellings so they are less exposed to transition-related penalties and climate/energy-risk pressures that can affect household costs.","Backed by the EU Energy Performance of Buildings Directive, Renovation Wave and Smart Readiness Indicator framework for smart, decarbonised buildings.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en
Housing,HOME INSURANCE MORE EXPENSIVE,Housing cost band: 1_Low,EU EPBD Renovation Wave and Smart Readiness Indicator-enabled building upgrades,EU / Member States,"Twin-transition building resilience measure: combine energy performance renovation with digital building-readiness tools, smart controls and better building data to reduce inefficient, high-risk housing conditions.","For the profile ""Housing cost band: 1_Low"", the measure supports upgrading inefficient or older dwellings so they are less exposed to transition-related penalties and climate/energy-risk pressures that can affect household costs.","Backed by the EU Energy Performance of Buildings Directive, Renovation Wave and Smart Readiness Indicator framework for smart, decarbonised buildings.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en
Housing,HOME INSURANCE MORE EXPENSIVE,Ber rating: C,EU EPBD Renovation Wave and Smart Readiness Indicator-enabled building upgrades,EU / Member States,"Twin-transition building resilience measure: combine energy performance renovation with digital building-readiness tools, smart controls and better building data to reduce inefficient, high-risk housing conditions.","For the profile ""Ber rating: C"", the measure supports upgrading inefficient or older dwellings so they are less exposed to transition-related penalties and climate/energy-risk pressures that can affect household costs.","Backed by the EU Energy Performance of Buildings Directive, Renovation Wave and Smart Readiness Indicator framework for smart, decarbonised buildings.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en
Housing,HOME MORE DAMP OR MOULD,Political group: Yes,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Political group: Yes"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,HOME MORE DAMP OR MOULD,Home type: Terraced house,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Home type: Terraced house"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,HOME MORE DAMP OR MOULD,Household type: Other shared,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Household type: Other shared"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,HOME MORE DAMP OR MOULD,Education: Further education or training after school (not university),Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Education: Further education or training after school (not university)"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,HOME MORE DAMP OR MOULD,Housing cost band: 3_High,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Housing cost band: 3_High"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,HOME MORE DAMP OR MOULD,Housing cost band: 1_Low,Ireland — Warmth & Wellbeing pilot / Warmer Homes Scheme,Ireland,"Twin-transition health-and-energy retrofit: public health referral plus home energy upgrades, including insulation and heating improvements, focused on homes affected by cold, damp or poor energy performance.","For the profile ""Housing cost band: 1_Low"", the measure targets housing conditions linked with cold, damp and mould through energy-efficiency upgrades rather than only short-term bill support.",Credible because it is a government/SEAI/HSE-backed scheme with reported health benefits and documented retrofit delivery.,https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes; https://www.gov.ie/en/department-of-climate-energy-and-the-environment/press-releases/warmth-and-wellbeing-pilot-scheme-shows-clear-physical-and-mental-health-benefits-of-home-energy-upgrades/; https://www.iea.org/policies/2653-warmth-and-wellbeing-pilot-scheme
Housing,HOUSE VALUE DECREASE (NO SOLAR),Ethnic minority: Prefer not to say,France — MaPrimeRénov’ and EU Social Climate Fund-aligned home renovation support,France / EU,"Twin-transition home-upgrade subsidy: income-based renovation support for insulation, heating-system upgrades and renewable-energy measures such as solar or low-carbon equipment where eligible.","For the profile ""Ethnic minority: Prefer not to say"", the measure helps households avoid being left behind as building value becomes more linked to energy performance and clean-energy readiness.",MaPrimeRénov’ is a national policy with IEA documentation; EU Social Climate Fund explicitly supports vulnerable households affected by building and transport decarbonisation costs.,https://www.service-public.gouv.fr/particuliers/vosdroits/F35083?lang=en; https://www.iea.org/policies/17749-frances-maprimerenov-programme; https://iea.blob.core.windows.net/assets/cc642c97-ba07-4dfc-a81e-c11ebda0b64c/16-France-MaPrimeRenov_CaseStudies_Final.pdf; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
Housing,HOUSE VALUE DECREASE (NO SOLAR),Can cover solar cost: Not sure,France — MaPrimeRénov’ and EU Social Climate Fund-aligned home renovation support,France / EU,"Twin-transition home-upgrade subsidy: income-based renovation support for insulation, heating-system upgrades and renewable-energy measures such as solar or low-carbon equipment where eligible.","For the profile ""Can cover solar cost: Not sure"", the measure helps households avoid being left behind as building value becomes more linked to energy performance and clean-energy readiness.",MaPrimeRénov’ is a national policy with IEA documentation; EU Social Climate Fund explicitly supports vulnerable households affected by building and transport decarbonisation costs.,https://www.service-public.gouv.fr/particuliers/vosdroits/F35083?lang=en; https://www.iea.org/policies/17749-frances-maprimerenov-programme; https://iea.blob.core.windows.net/assets/cc642c97-ba07-4dfc-a81e-c11ebda0b64c/16-France-MaPrimeRenov_CaseStudies_Final.pdf; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
Housing,MORE FREQUENT POWER CUTS,Heat fuel bottle gas,"EU BRIDGE smart-grid, storage and digitalisation demonstrations",EU / Europe,"Twin-transition grid resilience measure: deploy smart grids, storage, demand response and digital monitoring to improve reliability and enable cleaner electricity integration.","For the profile ""Heat fuel bottle gas"", the measure reduces outage vulnerability by strengthening grid flexibility, digital fault visibility and local resilience.","BRIDGE is a European Commission initiative pooling smart-grid, storage and digitalisation demonstration projects; resilience work is supported by European policy research.",https://bridge-smart-grid-storage-systems-digital-projects.ec.europa.eu/home; https://bridge-smart-grid-storage-systems-digital-projects.ec.europa.eu/case-studies; https://cerre.eu/wp-content/uploads/2023/06/01062023_CERRE_REPORT_RESILIENCE.pdf
Housing,MORE FREQUENT POWER CUTS,Housing cost band: 1_Low,"EU BRIDGE smart-grid, storage and digitalisation demonstrations",EU / Europe,"Twin-transition grid resilience measure: deploy smart grids, storage, demand response and digital monitoring to improve reliability and enable cleaner electricity integration.","For the profile ""Housing cost band: 1_Low"", the measure reduces outage vulnerability by strengthening grid flexibility, digital fault visibility and local resilience.","BRIDGE is a European Commission initiative pooling smart-grid, storage and digitalisation demonstration projects; resilience work is supported by European policy research.",https://bridge-smart-grid-storage-systems-digital-projects.ec.europa.eu/home; https://bridge-smart-grid-storage-systems-digital-projects.ec.europa.eu/case-studies; https://cerre.eu/wp-content/uploads/2023/06/01062023_CERRE_REPORT_RESILIENCE.pdf
Housing,MORE FREQUENT POWER CUTS,Age group: 45+,"EU BRIDGE smart-grid, storage and digitalisation demonstrations",EU / Europe,"Twin-transition grid resilience measure: deploy smart grids, storage, demand response and digital monitoring to improve reliability and enable cleaner electricity integration.","For the profile ""Age group: 45+"", the measure reduces outage vulnerability by strengthening grid flexibility, digital fault visibility and local resilience.","BRIDGE is a European Commission initiative pooling smart-grid, storage and digitalisation demonstration projects; resilience work is supported by European policy research.",https://bridge-smart-grid-storage-systems-digital-projects.ec.europa.eu/home; https://bridge-smart-grid-storage-systems-digital-projects.ec.europa.eu/case-studies; https://cerre.eu/wp-content/uploads/2023/06/01062023_CERRE_REPORT_RESILIENCE.pdf
Housing,MORE FREQUENT POWER CUTS,Countries with higher Asthma death rate,"EU BRIDGE smart-grid, storage and digitalisation demonstrations",EU / Europe,"Twin-transition grid resilience measure: deploy smart grids, storage, demand response and digital monitoring to improve reliability and enable cleaner electricity integration.","For the profile ""Countries with higher Asthma death rate"", the measure reduces outage vulnerability by strengthening grid flexibility, digital fault visibility and local resilience.","BRIDGE is a European Commission initiative pooling smart-grid, storage and digitalisation demonstration projects; resilience work is supported by European policy research.",https://bridge-smart-grid-storage-systems-digital-projects.ec.europa.eu/home; https://bridge-smart-grid-storage-systems-digital-projects.ec.europa.eu/case-studies; https://cerre.eu/wp-content/uploads/2023/06/01062023_CERRE_REPORT_RESILIENCE.pdf
Transport,HIGHER FUEL/REPAIR COSTS (ICE),Higher Ev perception,France — EV social leasing and ecological bonus/malus support,France,Twin-transition clean-mobility measure: subsidised EV leasing and incentives help eligible households shift from internal-combustion vehicles to lower-emission vehicles.,"For the profile ""Higher Ev perception"", the measure addresses ICE running-cost and resale-risk exposure by making electric mobility more affordable.",Official French social leasing policy and European Alternative Fuels Observatory documentation show targeted low-cost access to electric cars for modest-income households.,https://www.service-public.gouv.fr/particuliers/actualites/A16990?lang=en; https://alternative-fuels-observatory.ec.europa.eu/general-information/news/france-launches-2025-round-social-leasing-electric-cars
Transport,RESTRICTED FROM TOWN/CITY CENTRES (ZEZ restrictions),Countries with higher Modal split cars,European Urban Vehicle Access Regulations and Zero/Low Emission Zone implementation,Europe / cities including Kraków and Palma,"Twin-transition urban mobility measure: low- and zero-emission zones paired with cleaner public transport, active mobility and information systems to cut traffic emissions.","For the profile ""Countries with higher Modal split cars"", the measure reduces exposure to polluted traffic environments and supports transition away from high-emission vehicle dependence.",European Commission guidance recognises Urban Vehicle Access Regulations as tools to reduce traffic-borne emissions and improve air quality; EU Urban Mobility Observatory documents city implementation lessons.,https://transport.ec.europa.eu/transport-themes/urban-transport/urban-vehicle-access-regulations_en; https://urban-mobility-observatory.transport.ec.europa.eu/resources/case-studies/lessons-krakow-and-palma-implementing-urban-vehicle-access-regulations_en
Transport,RESTRICTED FROM TOWN/CITY CENTRES (ZEZ restrictions),Newest car year band: 2010-2019,European Urban Vehicle Access Regulations and Zero/Low Emission Zone implementation,Europe / cities including Kraków and Palma,"Twin-transition urban mobility measure: low- and zero-emission zones paired with cleaner public transport, active mobility and information systems to cut traffic emissions.","For the profile ""Newest car year band: 2010-2019"", the measure reduces exposure to polluted traffic environments and supports transition away from high-emission vehicle dependence.",European Commission guidance recognises Urban Vehicle Access Regulations as tools to reduce traffic-borne emissions and improve air quality; EU Urban Mobility Observatory documents city implementation lessons.,https://transport.ec.europa.eu/transport-themes/urban-transport/urban-vehicle-access-regulations_en; https://urban-mobility-observatory.transport.ec.europa.eu/resources/case-studies/lessons-krakow-and-palma-implementing-urban-vehicle-access-regulations_en
Transport,RESTRICTED FROM TOWN/CITY CENTRES (ZEZ restrictions),Speaks national language: No,European Urban Vehicle Access Regulations and Zero/Low Emission Zone implementation,Europe / cities including Kraków and Palma,"Twin-transition urban mobility measure: low- and zero-emission zones paired with cleaner public transport, active mobility and information systems to cut traffic emissions.","For the profile ""Speaks national language: No"", the measure reduces exposure to polluted traffic environments and supports transition away from high-emission vehicle dependence.",European Commission guidance recognises Urban Vehicle Access Regulations as tools to reduce traffic-borne emissions and improve air quality; EU Urban Mobility Observatory documents city implementation lessons.,https://transport.ec.europa.eu/transport-themes/urban-transport/urban-vehicle-access-regulations_en; https://urban-mobility-observatory.transport.ec.europa.eu/resources/case-studies/lessons-krakow-and-palma-implementing-urban-vehicle-access-regulations_en
Transport,MORE POLLUTION EXPOSURE,Ev likelihood,European Urban Vehicle Access Regulations and Zero/Low Emission Zone implementation,Europe / cities including Kraków and Palma,"Twin-transition urban mobility measure: low- and zero-emission zones paired with cleaner public transport, active mobility and information systems to cut traffic emissions.","For the profile ""Ev likelihood"", the measure reduces exposure to polluted traffic environments and supports transition away from high-emission vehicle dependence.",European Commission guidance recognises Urban Vehicle Access Regulations as tools to reduce traffic-borne emissions and improve air quality; EU Urban Mobility Observatory documents city implementation lessons.,https://transport.ec.europa.eu/transport-themes/urban-transport/urban-vehicle-access-regulations_en; https://urban-mobility-observatory.transport.ec.europa.eu/resources/case-studies/lessons-krakow-and-palma-implementing-urban-vehicle-access-regulations_en
Transport,MORE POLLUTION EXPOSURE,Countries with higher Modal split cars,European Urban Vehicle Access Regulations and Zero/Low Emission Zone implementation,Europe / cities including Kraków and Palma,"Twin-transition urban mobility measure: low- and zero-emission zones paired with cleaner public transport, active mobility and information systems to cut traffic emissions.","For the profile ""Countries with higher Modal split cars"", the measure reduces exposure to polluted traffic environments and supports transition away from high-emission vehicle dependence.",European Commission guidance recognises Urban Vehicle Access Regulations as tools to reduce traffic-borne emissions and improve air quality; EU Urban Mobility Observatory documents city implementation lessons.,https://transport.ec.europa.eu/transport-themes/urban-transport/urban-vehicle-access-regulations_en; https://urban-mobility-observatory.transport.ec.europa.eu/resources/case-studies/lessons-krakow-and-palma-implementing-urban-vehicle-access-regulations_en
Transport,MORE POLLUTION EXPOSURE,Higher Ev perception,European Urban Vehicle Access Regulations and Zero/Low Emission Zone implementation,Europe / cities including Kraków and Palma,"Twin-transition urban mobility measure: low- and zero-emission zones paired with cleaner public transport, active mobility and information systems to cut traffic emissions.","For the profile ""Higher Ev perception"", the measure reduces exposure to polluted traffic environments and supports transition away from high-emission vehicle dependence.",European Commission guidance recognises Urban Vehicle Access Regulations as tools to reduce traffic-borne emissions and improve air quality; EU Urban Mobility Observatory documents city implementation lessons.,https://transport.ec.europa.eu/transport-themes/urban-transport/urban-vehicle-access-regulations_en; https://urban-mobility-observatory.transport.ec.europa.eu/resources/case-studies/lessons-krakow-and-palma-implementing-urban-vehicle-access-regulations_en
