country,sector,hazard name,profile,evidence,reference
Germany,Housing,Policy gaps � modernisation levies & tenancy laws,Tenants,Modernisation levies and tenancy laws contribute to financial insecurity and offer little relief to tenants.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.1 Germany housing; page 51"
Germany,Housing,Technological & informational barriers,People with low digital literacy,Smart-home technologies are designed mainly for efficiency rather than accessibility or usability for low-tech literacy groups.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.1 Germany housing; page 51"
Hungary,Energy,Energy poverty,Poorer households,Poorer households are excluded from using renewable energy and state policy is described as sustaining energy poverty.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.2 Hungary energy; pages 45-46"
Hungary,Energy,Policy gaps � partisan / geopolitical interests,Households affected by energy poverty,Political polarisation and partisan logic hinder effective management of energy poverty.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.2 Hungary energy; pages 45-46"
Hungary,Energy,Policy gaps � partisan / geopolitical interests,Communities near favoured industrial investments,State policy is described as favouring certain investments such as battery factories while lacking decentralisation.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.2 Hungary energy; page 46"
Hungary,Energy,Renewable intermittency & grid capacity,Renewable-energy users and communities,Production fluctuation storage difficulty feed-in restrictions and grid limits constrain renewable participation.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.2 Hungary energy; pages 45-46"
Hungary,Energy,Environmental negative effects,Communities exposed to pollution,Limited renewable integration and continued pollution hamper climate neutrality.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.2 Hungary energy; page 46"
Hungary,Energy,Infrastructure & technology limits,Energy-poor households,Innovation and investment do not target technologies that reduce energy poverty.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.2 Hungary energy; page 46"
Hungary,Energy,Market distortions,Households exposed to price fluctuations,Market distortions reduce investment willingness and increase price fluctuations.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.2 Hungary energy; page 46"
Hungary,Transport,Policy gaps � auto-industry priority,Lower-income households,Electric-car tax incentives disproportionately benefit higher-income households and large corporations.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.1 Hungary transport; page 54"
Hungary,Transport,Policy gaps � auto-industry priority,Public-transport users,Transport investment supports electric vehicles while neglecting public transport development.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.1 Hungary transport; page 54"
Hungary,Transport,Environmental effects of car-centric system,Communities near battery factories,Green-energy and battery production are linked to local air soil and water pollution and high water use.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.1 Hungary transport; page 54"
Hungary,Transport,EV limitations,Low-income households,EV-focused approaches can deepen social inequalities and the urban-rural divide.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.1 Hungary transport; page 54"
Hungary,Transport,Public transport under-prioritised,Public-transport-dependent residents,Public transport is not sufficiently prioritised and lacks organisational infrastructural and educational development.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.1 Hungary transport; page 54"
Hungary,Transport,Social conflicts of twin transition,Workers in transition-affected industries,The transition creates tensions between workers interests and environmental and health justice.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.1 Hungary transport; page 54"
Hungary,Transport,Accessibility problem in public transport,People needing access to services and communal spaces,Public transport could enable service access and social interaction but is poorly suited for this role.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.1 Hungary transport; page 54"
Ireland,Energy,Tenancy � no agency to retrofit,Tenants,Tenants have no agency to retrofit and are left further behind compared with homeowners.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.3 Ireland energy; page 46"
Ireland,Energy,Access to finance,Households unable to afford upfront retrofit costs,Upfront retrofit costs and increasing energy costs limit access to the transition.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.3 Ireland energy; page 46"
Ireland,Energy,Inadequate sectoral policies,Middle-to-low income households with limited advocacy,Policies are described as targeted toward people on middle to high incomes who can advocate for themselves.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.3 Ireland energy; page 46"
Ireland,Energy,Inadequate sectoral policies,Regional communities,One-size-fits-all policy design is described as failing to account for local and regional conditions.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.3 Ireland energy; page 46"
Ireland,Energy,Environmental � limited retrofitting,Residents of inefficient homes,Limited retrofitting is linked to increased greenhouse emissions and slow energy transition.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.3 Ireland energy; page 46"
Ireland,Energy,Technical / technological constraints,Communities pursuing collective energy initiatives,Energy communities need support but face skills gaps time poverty and restrictions on commercial partners.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.3 Ireland energy; page 46"
Ireland,Housing,House ownership & limited housing access,Tenants,Housing and retrofit policies are accessible mainly to homeowners while tenants remain in costly inefficient housing.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.2 Ireland housing; page 51"
Ireland,Housing,House ownership & limited housing access,Workers affected by housing costs,High housing costs affect labour mobility regional balance and can contribute to worker emigration.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.2 Ireland housing; page 51"
Ireland,Housing,Transport needs linked to housing constraints,Residents displaced far from employment centres,High housing costs and limited alternatives increase commuting distances.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.2 Ireland housing; page 51"
Ireland,Housing,Transport needs linked to housing constraints,Rural residents,Limited rural public transport reinforces car dependency.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.2 Ireland housing; page 51"
Ireland,Housing,Transport needs linked to housing constraints,Seniors relying on taxis,Seniors who rely on taxis face high costs and reduced disposable income.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.2 Ireland housing; page 51"
Ireland,Housing,Inadequate sectoral policies,Tenants in rental properties,Policies are available to homeowners and there is no minimum BER requirement for rentals.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.2 Ireland housing; page 51"
Ireland,Housing,Environmental challenges (housing + transport),Residents exposed to tailpipe emissions,Inefficient housing and transport emissions create public costs and negative health impacts.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.2 Ireland housing; pages 51-52"
Italy,Energy,Policy gaps & governance fragmentation,Residents in territories with weaker administrative capacity,Implementation varies across territories and depends on local authority capacity.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.4 Italy energy; page 47"
Italy,Energy,Limited benefits of energy policies,Lower-income households,Energy incentives often benefit higher-income households and energy community benefits are limited.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.4 Italy energy; page 47"
Italy,Energy,Market concentration & price asymmetry,Households facing expensive electricity,Energy sold to the grid is poorly remunerated while purchased energy remains expensive.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.4 Italy energy; page 47"
Italy,Energy,Energy poverty & territorial disparities,Rural and peripheral residents,Higher vulnerability is identified in rural and peripheral areas.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.4 Italy energy; page 47"
Italy,Energy,Energy poverty & territorial disparities,People with limited digital literacy,Cognitive and digital barriers limit access to bonuses and energy communities.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.4 Italy energy; page 47"
Italy,Energy,Environmental challenges,Households exposed to fossil-fuel import vulnerability,Dependence on fossil-fuel imports creates geopolitical exposure and slows emissions reduction.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.4 Italy energy; page 47"
Italy,Energy,Technical & infrastructural constraints,Residents of small municipalities,Weak local grids especially in small municipalities hinder renewable energy communities.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.4 Italy energy; page 47"
Italy,Transport,Territorial inequality in mobility access,Peripheral and rural residents,Peripheral and rural areas lack adequate public transport and must rely on private transport.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Territorial inequality in mobility access,Commuters dependent on public transport,Public transport schedules often fail to reflect commuting patterns.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Policy gaps in transport,Residents in territories with weak local programming capacity,Local administrations have limited capacity to respond to territorial needs and continuity is obstructed.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Infrastructural weaknesses,Residents dependent on public or electric mobility,Limited network density EV charging infrastructure and perceived service quality constrain mobility.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Affordability barriers to clean mobility,Low-income households,High EV costs and limited social leasing or second-hand markets restrict access to clean mobility.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Digital exclusion & service-design gaps,People with limited digital literacy,Digital literacy barriers and inaccessible service design exacerbate exclusion.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Safety & social exclusion in mobility,Women,Labs identified bias harassment and exclusion affecting women in mobility spaces.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Safety & social exclusion in mobility,LGBTQIA+ people,Labs identified bias harassment and exclusion affecting LGBTQIA+ people in mobility spaces.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Safety & social exclusion in mobility,Migrants,Labs identified bias harassment and exclusion affecting migrants in mobility spaces.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Italy,Transport,Safety & social exclusion in mobility,People with disabilities and low-income residents,Disability and low income intensify access barriers in mobility.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.2 Italy transport; page 55"
Spain,Energy,Energy poverty (intersectional),Low-income households,Energy poverty is most severe where low income overlaps with age disability unemployment loneliness and precarious work.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; pages 47-48"
Spain,Energy,Energy poverty (intersectional),Older people,Age intersects with income and disability in severe energy poverty.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; page 48"
Spain,Energy,Energy poverty (intersectional),People with disabilities,Disability intersects with income age and unemployment in severe energy poverty.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; page 48"
Spain,Energy,Energy poverty (intersectional),Single-person households,Single-person households are described as particularly exposed.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; page 48"
Spain,Energy,Inaccessible subsidy design,Low-income households,Grants require upfront payments for solar panels or heat pumps and exclude low-income households.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; page 48"
Spain,Energy,Digital exclusion & techno-ableism,Older people,Digital innovation is described as perpetuating ageism and limiting access for older people.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; page 48"
Spain,Energy,Digital exclusion & techno-ableism,Low-educated people,Limited access affects low-educated people.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; page 48"
Spain,Energy,Digital exclusion & techno-ableism,People with disabilities,Digital innovation is described as perpetuating ableism and limiting access for people with disabilities.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; page 48"
Spain,Energy,Public policies do not target vulnerable groups,Vulnerable households,Public policy and green innovation discourse are described as disconnected from daily survival needs.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; pages 47-48"
Spain,Energy,Opaque tariffs / weak communication,Households with low institutional trust,Complex offers unclear language and weak communication reduce effective access to tariff reductions.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; page 48"
Spain,Energy,Solar subsidies not relevant for vulnerable households,Low-income households,Solar and heat-pump subsidies require upfront payments and are not relevant for vulnerable households.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.5 Spain energy; pages 47-48"
Spain,Transport,Transport poverty among vulnerable groups,Older people,Elderly people face structural mobility barriers.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.3 Spain transport; pages 55-56"
Spain,Transport,Transport poverty among vulnerable groups,People with disabilities,Persons with disabilities face structural mobility barriers and inaccessible infrastructure.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.3 Spain transport; pages 55-56"
Spain,Transport,Transport poverty among vulnerable groups,Rural residents,Rural residence significantly increases transport vulnerability.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.3 Spain transport; page 55"
Spain,Transport,Affordability gap in clean mobility,Low-income households,Low-income households rely on older combustion vehicles and EV subsidies are inaccessible due to high upfront costs.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.3 Spain transport; page 56"
Spain,Transport,Underdeveloped electric infrastructure,Residents dependent on longer-range mobility,Insufficient charging stations and limited EV range constrain access.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.3 Spain transport; page 56"
Spain,Transport,Urban environment as barrier,People with reduced mobility,Physical infrastructure remains inaccessible for people with reduced mobility.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.3 Spain transport; page 56"
Spain,Transport,Low institutional responsiveness,Disadvantaged groups,Policies are well-intended but do not reach those most in need and DGs are rarely included in innovation.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.3 Spain transport; page 56"
Spain,Transport,Rural public transport networks insufficient,Rural residents,Rural public transport networks are insufficient and rural residence increases transport vulnerability.,"FITTER D4.2 FINAL.pdf; Chapter 4.3.3 Spain transport; pages 55-56"
Portugal,Energy,Lack of financial stability,Low-income households,Financial instability pushes energy priorities such as efficiency improvements into the background and limits ability to pay energy bills.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.6 Portugal energy; page 48"
Portugal,Energy,Tenant decision-making constraints,Tenants,Tenants have reduced decision-making autonomy because rental housing decisions depend on landlords or neighbours.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.6 Portugal energy; page 48"
Portugal,Energy,Insufficient public infrastructure & modernisation,Residents in underserved areas,Insufficient investment in public infrastructure and modernisation limits storage transmission and other energy transition infrastructure.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.6 Portugal energy; page 48"
Portugal,Energy,Absence of policies reflecting real needs,Vulnerable households,Existing energy measures are limited fragmented or too focused on technological solutions while giving insufficient attention to affordability income constraints and tenant-landlord dynamics.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.6 Portugal energy; page 48"
Portugal,Energy,Limited accessibility of support,Households needing financial or organisational support,Financial incentives and organisational support are not sufficiently accessible for households trying to implement twin-transition measures.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.6 Portugal energy; page 48"
Portugal,Energy,Ageing population & low engagement,Older people,Older people may have limited knowledge of recent technological solutions and low engagement in transition programmes.,"FITTER D4.2 FINAL.pdf; Chapter 4.1.6 Portugal energy; page 48"
Portugal,Housing,Financial difficulties,Low-income families,Financial difficulties housing costs living expenses employability problems and sustainability-related costs affect housing stability.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.3 Portugal housing; page 52"
Portugal,Housing,Restricted access to affordable / social housing,Lower-income families with children,Affordable and social housing is limited for lower-income families especially those with children.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.3 Portugal housing; page 52"
Portugal,Housing,Travel & transport burdens linked to housing,Households pushed to peripheral areas,High ownership or rental costs can push households to peripheral areas with longer commutes limited reimbursement and insufficient adapted public transport.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.3 Portugal housing; page 52"
Portugal,Housing,Lack of home ownership / insecure arrangements,Households in shared or insecure housing,Lack of home ownership and reliance on shared or insecure arrangements reduce housing security and control over improvements.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.3 Portugal housing; page 52"
Portugal,Housing,Private & family instability,People facing addiction or family instability,Private and family instability including addiction-related problems can affect housing security.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.3 Portugal housing; page 52"
Portugal,Housing,Policy mismatch with real needs,Vulnerable households,Policies are described as underfunded poorly implemented and insufficiently targeted coordinated or resourced to address structural barriers.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.3 Portugal housing; page 52"
Portugal,Housing,AI / labour-market risks,Workers exposed to AI-related labour-market disruption,AI expansion could alter employment conditions and affect income stability and housing affordability.,"FITTER D4.2 FINAL.pdf; Chapter 4.2.3 Portugal housing; page 52"
